loss,val_loss,val_acc,acc
1.63981489792,1.32513936844,0.5299,0.40201999999
1.2835169323,1.12995807724,0.592,0.541820000038
1.11584920525,0.995356385422,0.6451,0.60786
1.00875130323,0.919601837063,0.6775,0.643979999981
0.936354717522,0.849314018059,0.7031,0.67158
0.870669523621,0.811875508976,0.7161,0.695119999962
0.822075757027,0.788760279846,0.7241,0.712280000038
0.783507933502,0.731328066063,0.7444,0.72608
0.742821622734,0.720086787319,0.7513,0.739819999981
0.713543975277,0.701112768745,0.7569,0.748819999962
0.687476176395,0.69628534174,0.7568,0.75724
0.65701490284,0.711644530106,0.7573,0.769380000019
0.643031355095,0.667794208527,0.7662,0.770940000038
0.618923238926,0.650888056469,0.7741,0.7827
0.601396069221,0.678009231281,0.7651,0.788480000038
0.582970036259,0.652746027565,0.775,0.794539999981
0.568218709335,0.644411907005,0.7814,0.799840000019
0.55288082531,0.651255696869,0.7807,0.803840000019
0.533635445404,0.641916620255,0.782,0.810320000019
0.520774415169,0.635176522064,0.7873,0.814619999981
0.505875915565,0.628833121872,0.785,0.821379999981
0.495691793175,0.632883329964,0.7831,0.824539999981
0.486123612537,0.641955498219,0.7835,0.82744
0.479836224127,0.646886902618,0.7845,0.827020000038
0.459427331123,0.651080807114,0.7821,0.835780000038
0.466208903618,0.64955966301,0.781,0.835099999962
0.448611167049,0.639269255447,0.786,0.839400000019
0.436750222626,0.644698231888,0.7878,0.844379999981
0.430947279959,0.645726795197,0.7852,0.84482
0.422406992531,0.644652131653,0.7882,0.848199999962
0.417233200388,0.644833205223,0.7881,0.851340000019
0.407233712273,0.665312587738,0.7847,0.85426
