val_acc,val_loss,acc,loss
0.4841,1.44915581474,0.35759999999,1.78339941711
0.5478,1.28433870239,0.484760000019,1.43764171989
0.5702,1.21932670021,0.526880000038,1.32077024567
0.5871,1.17185979233,0.555740000038,1.25039521667
0.5981,1.14024213219,0.577020000038,1.18985183487
0.615,1.10335779114,0.59476,1.14481773628
0.6216,1.07834816017,0.608619999962,1.10351321346
0.627,1.06960228291,0.62312,1.06660096397
0.6282,1.05763632202,0.634219999981,1.03832891676
0.6338,1.03886731586,0.6455,1.00520229652
0.6478,1.00791312704,0.654000000019,0.982224119492
0.652,0.993713257027,0.666760000019,0.952044672985
0.6604,0.979650917625,0.674179999981,0.930081429634
0.6642,0.966469863129,0.68352,0.905822530079
0.6609,0.97466781311,0.687619999962,0.885196777382
0.6617,0.969700470543,0.694639999962,0.865191013775
0.6721,0.949488939095,0.703200000019,0.846710292225
0.6724,0.936690371323,0.710899999962,0.828433380623
0.6776,0.927980246162,0.715780000038,0.810279077606
0.6839,0.920571715927,0.722119999962,0.794656560326
0.6786,0.9222235425,0.7262,0.779608043938
0.6827,0.913892504215,0.732840000038,0.763198388214
0.6869,0.906465573502,0.737539999962,0.751622543907
0.6854,0.909517064285,0.744859999981,0.735463844738
0.6891,0.901782664776,0.748220000019,0.721683305244
0.6899,0.896912268639,0.750019999981,0.712016179924
0.6869,0.899361655807,0.75706,0.693295795975
0.6905,0.892437822342,0.758939999981,0.683615367336
0.6937,0.890464831924,0.765620000019,0.671742812309
0.6966,0.884744255257,0.770320000038,0.663177640724
0.7013,0.878004237556,0.771780000038,0.652777535515
0.6974,0.884059377098,0.777360000038,0.642100298004
