val_acc,val_loss,loss,acc
0.4942,1.41986681881,1.79217781094,0.351200000019
0.5635,1.2120842062,1.38596290405,0.499860000038
0.6106,1.10528158474,1.22989013714,0.560600000038
0.6319,1.05009348068,1.12193514915,0.599279999962
0.6406,1.01123322945,1.04137721535,0.63224
0.6572,0.961705652809,0.976946203156,0.655039999981
0.666,0.933589290047,0.914163512573,0.676020000019
0.6836,0.902509119701,0.862138089905,0.693100000019
0.6863,0.897635151672,0.813081188011,0.71236
0.6849,0.891429267311,0.773546076546,0.725099999981
0.6992,0.86538449831,0.732539001312,0.743699999962
0.7036,0.855166539192,0.695015063744,0.754419999962
0.7035,0.857273611832,0.661955786724,0.766319999981
0.7028,0.854038479996,0.626560589352,0.779400000038
0.7122,0.843402700043,0.595164193535,0.790880000038
0.7096,0.841486017418,0.564511054955,0.801420000019
0.7121,0.84333103714,0.543057931252,0.808079999981
0.7164,0.841298839378,0.518780133896,0.816479999962
0.7154,0.847536484432,0.491453238907,0.826339999962
0.7155,0.841310721779,0.468953959732,0.834619999981
0.7185,0.841594106865,0.450281671295,0.84126
0.7231,0.850667690372,0.429977321634,0.849879999981
0.7192,0.851605314064,0.413375633297,0.852799999962
0.7203,0.856500283051,0.394124387989,0.861199999981
0.7249,0.866491949844,0.378344146938,0.866
0.7189,0.867620806694,0.368157355719,0.869079999981
0.7225,0.871549898911,0.349725022402,0.877479999981
0.7217,0.88156372261,0.334781380463,0.882500000038
0.7217,0.880187813568,0.324133217735,0.884419999981
0.7261,0.8809536026,0.314115598164,0.889439999962
0.7221,0.895981200409,0.30259712985,0.894120000038
0.7232,0.89975453949,0.297739104776,0.895219999962
